frame,filename,x,y,z,az,pitch,roll,bearing,elevation,reproj_err_px
149,000149.png,-0.082004,-0.972762,3.673096,-1.279,14.830,0.000,-1.279,14.833,0.187
150,000150.png,-0.062973,-0.987274,3.733975,-0.966,14.808,0.000,-0.966,14.810,0.053
151,000151.png,-0.042990,-0.987474,3.734743,-0.659,14.809,0.000,-0.659,14.810,0.053
152,000152.png,-0.022174,-0.971299,3.682008,-0.345,14.777,0.000,-0.345,14.778,0.226
153,000153.png,-0.004690,-0.965194,3.671607,-0.073,14.729,0.000,-0.073,14.729,0.250
154,000154.png,0.012985,-0.967300,3.679271,0.202,14.730,0.000,0.202,14.730,0.217
155,000155.png,0.035113,-0.952617,3.641472,0.552,14.660,0.000,0.552,14.660,0.175
156,000156.png,0.059886,-0.962304,3.684848,0.931,14.634,0.000,0.931,14.636,0.220
157,000157.png,0.075431,-0.963105,3.686459,1.172,14.639,0.000,1.172,14.642,0.184
158,000158.png,0.096883,-0.959486,3.675901,1.510,14.624,0.000,1.510,14.629,0.238
159,000159.png,0.119566,-0.957327,3.668889,1.867,14.617,0.000,1.867,14.624,0.265
160,000160.png,0.138663,-0.966660,3.705252,2.143,14.612,0.000,2.143,14.622,0.078
161,000161.png,0.157731,-0.960764,3.690221,2.448,14.580,0.000,2.448,14.593,0.188
162,000162.png,0.177525,-0.961078,3.691512,2.753,14.577,0.000,2.753,14.593,0.188
163,000163.png,0.200626,-0.958133,3.692986,3.110,14.524,0.000,3.110,14.545,0.181
164,000164.png,0.224991,-0.961451,3.713569,3.467,14.490,0.000,3.467,14.515,0.434
165,000165.png,0.252098,-0.964246,3.721570,3.875,14.494,0.000,3.875,14.526,0.084
166,000166.png,0.277025,-0.950840,3.690124,4.293,14.410,0.000,4.293,14.449,0.223
167,000167.png,0.299250,-0.951236,3.692026,4.634,14.403,0.000,4.634,14.448,0.176
168,000168.png,0.318945,-0.951100,3.691574,4.938,14.396,0.000,4.938,14.448,0.175
