   frame             x             y             z          roll         pitch           yaw
     231     -0.002493     -0.018563      4.133291     -0.284988      0.069378   -105.035050
     232     -0.002493     -0.018563      4.133291     -0.280966      0.084198   -102.035084
     233     -0.002493     -0.018563      4.133291     -0.280966      0.084198   -102.035084
     234     -0.002493     -0.018563      4.133291     -0.280966      0.084198   -102.035084
     235     -0.002493     -0.018563      4.133291     -0.276175      0.098787    -99.035116
     236     -0.002493     -0.018563      4.133291     -0.276175      0.098787    -99.035116
     237     -0.002493     -0.018563      4.133291     -0.276175      0.098787    -99.035116
     238     -0.002493     -0.018563      4.133291     -0.270626      0.113106    -96.035145
     239     -0.002493     -0.018563      4.133291     -0.270626      0.113106    -96.035145
     240     -0.002493     -0.018563      4.133291     -0.270626      0.113106    -96.035145
     241     -0.002493     -0.018563      4.133291     -0.264336      0.127114    -93.035171
     242     -0.002493     -0.018563      4.133291     -0.264336      0.127114    -93.035171
     243     -0.002493     -0.018563      4.133291     -0.257321      0.140774    -90.035194
     244     -0.002493     -0.018563      4.133291     -0.257321      0.140774    -90.035194
     245     -0.002493     -0.018563      4.133291     -0.257321      0.140774    -90.035194
     246     -0.002493     -0.018563      4.133291     -0.249601      0.154048    -87.035213
     247     -0.002493     -0.018563      4.133291     -0.249601      0.154048    -87.035213
     248     -0.002493     -0.018563      4.133291     -0.249601      0.154048    -87.035213
     249      0.064084     -0.018384      4.129843     -0.249601      0.154048    -87.035213
     250      0.064084     -0.018384      4.129843     -0.249601      0.154048    -87.035213
     251      0.064084     -0.018384      4.129843     -0.249601      0.154048    -87.035213
     252      0.130661     -0.018205      4.126395     -0.249601      0.154048    -87.035213
     253      0.130661     -0.018205      4.126395     -0.249601      0.154048    -87.035213
     254      0.130661     -0.018205      4.126395     -0.249601      0.154048    -87.035213
     255      0.197238     -0.018025      4.122946     -0.249601      0.154048    -87.035213
     256      0.197238     -0.018025      4.122946     -0.249601      0.154048    -87.035213
     257      0.197238     -0.018025      4.122946     -0.249601      0.154048    -87.035213
     258      0.263816     -0.017846      4.119498     -0.249601      0.154048    -87.035213
     259      0.263816     -0.017846      4.119498     -0.249601      0.154048    -87.035213
     260      0.330393     -0.017667      4.116050     -0.249601      0.154048    -87.035213
     261      0.330393     -0.017667      4.116050     -0.249601      0.154048    -87.035213
     262      0.330393     -0.017667      4.116050     -0.249601      0.154048    -87.035213
     263      0.396970     -0.017488      4.112602     -0.249601      0.154048    -87.035213
     264      0.396970     -0.017488      4.112602     -0.249601      0.154048    -87.035213
     265      0.396970     -0.017488      4.112602     -0.249601      0.154048    -87.035213
     266      0.463547     -0.017308      4.109154     -0.249601      0.154048    -87.035213
     267      0.463547     -0.017308      4.109154     -0.249601      0.154048    -87.035213
     268      0.463547     -0.017308      4.109154     -0.249601      0.154048    -87.035213
     269      0.530124     -0.017129      4.105706     -0.249601      0.154048    -87.035213
     270      0.530124     -0.017129      4.105706     -0.249601      0.154048    -87.035213
     271      0.530124     -0.017129      4.105706     -0.249601      0.154048    -87.035213
     272      0.596701     -0.016950      4.102258     -0.249601      0.154048    -87.035213
     273      0.596701     -0.016950      4.102258     -0.249601      0.154048    -87.035213
     274      0.663279     -0.016771      4.098810     -0.249601      0.154048    -87.035213
     275      0.663279     -0.016771      4.098810     -0.249601      0.154048    -87.035213
     276      0.663279     -0.016771      4.098810     -0.249601      0.154048    -87.035213
     277      0.729856     -0.016591      4.095361     -0.249601      0.154048    -87.035213
     278      0.729856     -0.016591      4.095361     -0.249601      0.154048    -87.035213
     279      0.796433     -0.016412      4.091913     -0.249601      0.154048    -87.035213
     280      0.796433     -0.016412      4.091913     -0.249601      0.154048    -87.035213
     281      0.796433     -0.016412      4.091913     -0.249601      0.154048    -87.035213
     282      0.863010     -0.016233      4.088465     -0.249601      0.154048    -87.035213
     283      0.863010     -0.016233      4.088465     -0.249601      0.154048    -87.035213
     284      0.863010     -0.016233      4.088465     -0.249601      0.154048    -87.035213
     285      0.929587     -0.016054      4.085017     -0.249601      0.154048    -87.035213
     286      0.929587     -0.016054      4.085017     -0.249601      0.154048    -87.035213
     287      0.929587     -0.016054      4.085017     -0.249601      0.154048    -87.035213
     288      0.996165     -0.015874      4.081569     -0.249601      0.154048    -87.035213
     289      0.996165     -0.015874      4.081569     -0.249601      0.154048    -87.035213
     290      1.062742     -0.015695      4.078121     -0.249601      0.154048    -87.035213
     291      1.062742     -0.015695      4.078121     -0.249601      0.154048    -87.035213
     292      1.062742     -0.015695      4.078121     -0.249601      0.154048    -87.035213
     293      1.129319     -0.015516      4.074673     -0.249601      0.154048    -87.035213
     294      1.129319     -0.015516      4.074673     -0.249601      0.154048    -87.035213
     295      1.129319     -0.015516      4.074673     -0.249601      0.154048    -87.035213
     296      1.195896     -0.015337      4.071224     -0.249601      0.154048    -87.035213
     297      1.195896     -0.015337      4.071224     -0.249601      0.154048    -87.035213
     298      1.262473     -0.015157      4.067776     -0.249601      0.154048    -87.035213
     299      1.262473     -0.015157      4.067776     -0.249601      0.154048    -87.035213
     300      1.262473     -0.015157      4.067776     -0.249601      0.154048    -87.035213
     301      1.329051     -0.014978      4.064328     -0.249601      0.154048    -87.035213
     302      1.329051     -0.014978      4.064328     -0.249601      0.154048    -87.035213
     303      1.329051     -0.014978      4.064328     -0.249601      0.154048    -87.035213
     304      1.395628     -0.014799      4.060880     -0.249601      0.154048    -87.035213
     305      1.395628     -0.014799      4.060880     -0.249601      0.154048    -87.035213
     306      1.462205     -0.014620      4.057432     -0.249601      0.154048    -87.035213
     307      1.462205     -0.014620      4.057432     -0.249601      0.154048    -87.035213
     308      1.462205     -0.014620      4.057432     -0.249601      0.154048    -87.035213
     309      1.528782     -0.014440      4.053984     -0.249601      0.154048    -87.035213
     310      1.528782     -0.014440      4.053984     -0.249601      0.154048    -87.035213
